22:51:00.00,5,Down,2,0
22:52:00.00,3,Up,6,2
22:53:00.00,7,Down,1,1
,4,Up,5,0
22:58:00.00,6,Down,1,0
22:59:00.00,3,Up,4,1
22:59:30.00,7,Down,3,2
,2,Up,7,0
23:05:00.00,2,Down,1,0
23:07:00.00,1,Up,7,2
23:08:00.00,7,Down,5,1
,6,Down,3,0
23:10:00.00,2,Up,4,0
23:11:00.00,3,Up,7,2
23:12:00.00,1,Up,3,1
,6,Up,7,0
,5,Up,7,0
,4,Up,7,0
,3,Up,5,0
23:13:00.00,5,Down,2,0
23:13:00.00,3,Down,1,2
23:14:00.00,5,Down,1,1
,4,Down,2,0
,4,Down,1,0
,7,Down,6,0
,6,Down,1,0
22:51:00.00,5,Down,2,0
22:52:00.00,3,Up,6,2
22:53:00.00,7,Down,1,1
,4,Up,5,0
22:58:00.00,6,Down,1,0
22:59:00.00,3,Up,4,1
22:59:30.00,7,Down,3,2
,2,Up,7,0
23:05:00.00,2,Down,1,0
23:07:00.00,1,Up,7,2
23:08:00.00,7,Down,5,1
,6,Down,3,0
23:10:00.00,2,Up,4,0
23:11:00.00,3,Up,7,2
23:12:00.00,1,Up,3,1
,6,Up,7,0
,5,Up,7,0
,4,Up,7,0
,3,Up,5,0
23:13:00.00,5,Down,2,0
23:13:00.00,3,Down,1,2
23:14:00.00,5,Down,1,1
,4,Down,2,0
,4,Down,1,0
,7,Down,6,0
,6,Down,1,0
22:51:00.00,5,Down,2,0
22:52:00.00,3,Up,6,2
22:53:00.00,7,Down,1,1
,4,Up,5,0
22:58:00.00,6,Down,1,0
22:59:00.00,3,Up,4,1
22:59:30.00,7,Down,3,2
,2,Up,7,0
23:05:00.00,2,Down,1,0
23:07:00.00,1,Up,7,2
23:08:00.00,7,Down,5,1
,6,Down,3,0
23:10:00.00,2,Up,4,0
23:11:00.00,3,Up,7,2
23:12:00.00,1,Up,3,1
,6,Up,7,0
,5,Up,7,0
,4,Up,7,0
,3,Up,5,0
23:13:00.00,5,Down,2,0
23:13:00.00,3,Down,1,2
23:14:00.00,5,Down,1,1
,4,Down,2,0
,4,Down,1,0
,7,Down,6,0
,6,Down,1,0
22:51:00.00,5,Down,2,0
22:52:00.00,3,Up,6,2
22:53:00.00,7,Down,1,1
,4,Up,5,0
22:58:00.00,6,Down,1,0
22:59:00.00,3,Up,4,1
22:59:30.00,7,Down,3,2
,2,Up,7,0
23:05:00.00,2,Down,1,0
23:07:00.00,1,Up,7,2
23:08:00.00,7,Down,5,1
,6,Down,3,0
23:10:00.00,2,Up,4,0
23:11:00.00,3,Up,7,2
23:12:00.00,1,Up,3,1
,6,Up,7,0
,5,Up,7,0
,4,Up,7,0
,3,Up,5,0
23:13:00.00,5,Down,2,0
23:13:00.00,3,Down,1,2
23:14:00.00,5,Down,1,1
,4,Down,2,0
,4,Down,1,0
,7,Down,6,0
,6,Down,1,0
22:51:00.00,5,Down,2,0
22:52:00.00,3,Up,6,2
22:53:00.00,7,Down,1,1
,4,Up,5,0
22:58:00.00,6,Down,1,0
22:59:00.00,3,Up,4,1
22:59:30.00,7,Down,3,2
,2,Up,7,0
23:05:00.00,2,Down,1,0
23:07:00.00,1,Up,7,2
23:08:00.00,7,Down,5,1
,6,Down,3,0
23:10:00.00,2,Up,4,0
23:11:00.00,3,Up,7,2
23:12:00.00,1,Up,3,1
,6,Up,7,0
,5,Up,7,0
,4,Up,7,0
,3,Up,5,0
23:13:00.00,5,Down,2,0
23:13:00.00,3,Down,1,2
23:14:00.00,5,Down,1,1
,4,Down,2,0
,4,Down,1,0
,7,Down,6,0
,6,Down,1,0
22:51:00.00,5,Down,2,0
22:52:00.00,3,Up,6,2
22:53:00.00,7,Down,1,1
,4,Up,5,0
22:58:00.00,6,Down,1,0
22:59:00.00,3,Up,4,1
22:59:30.00,7,Down,3,2
,2,Up,7,0
23:05:00.00,2,Down,1,0
23:07:00.00,1,Up,7,2
23:08:00.00,7,Down,5,1
,6,Down,3,0
23:10:00.00,2,Up,4,0
23:11:00.00,3,Up,7,2
23:12:00.00,1,Up,3,1
,6,Up,7,0
,5,Up,7,0
,4,Up,7,0
,3,Up,5,0
23:13:00.00,5,Down,2,0
23:13:00.00,3,Down,1,2
23:14:00.00,5,Down,1,1
,4,Down,2,0
,4,Down,1,0
,7,Down,6,0
,6,Down,1,0
22:51:00.00,5,Down,2,0
22:52:00.00,3,Up,6,2
22:53:00.00,7,Down,1,1
,4,Up,5,0
22:58:00.00,6,Down,1,0
22:59:00.00,3,Up,4,1
22:59:30.00,7,Down,3,2
,2,Up,7,0
23:05:00.00,2,Down,1,0
23:07:00.00,1,Up,7,2
23:08:00.00,7,Down,5,1
,6,Down,3,0
23:10:00.00,2,Up,4,0
23:11:00.00,3,Up,7,2
23:12:00.00,1,Up,3,1
,6,Up,7,0
,5,Up,7,0
,4,Up,7,0
,3,Up,5,0
23:13:00.00,5,Down,2,0
23:13:00.00,3,Down,1,2
23:14:00.00,5,Down,1,1
,4,Down,2,0
,4,Down,1,0
,7,Down,6,0
,6,Down,1,0
